player,daritu,games,daseki,dasuu,tokuten,anda,2rui,3rui,hr,ruida,daten,k,kp,bb,bbp,hbp,gida,gihi,heisatu,obp,tyo,daritu2,games2,daseki2,dasuu2,tokuten2,anda2,2rui2,3rui2,hr2,ruida2,daten2,k2,kp2,bb2,bbp2,hbp2,gida2,gihi2,heisatu2,obp2,tyo2
ãgìc å´å·,0.37254902,15,57,51,6,19,3,0,0,22,5,3,0.052631579,3,0.052631579,0,3,0,1,0.407407407,0.431372549,0.310344828,32,93,87,7,27,8,0,2,41,15,13,0.139784946,3,0.032258065,0,2,1,1,0.32967033,0.471264368
à…ì° ëÂè´,0.175,16,51,40,5,7,0,2,0,11,4,9,0.176470588,4,0.078431373,1,5,1,2,0.260869565,0.275,0.1875,24,56,48,4,9,2,0,0,11,6,7,0.125,3,0.053571429,2,1,2,0,0.254545455,0.229166667
ç≤ì° íºé˜,0.272727273,12,50,44,4,12,4,3,0,22,7,10,0.2,5,0.1,0,1,0,0,0.346938776,0.5,0.217391304,17,51,46,8,10,0,1,0,12,2,17,0.333333333,5,0.098039216,0,0,0,0,0.294117647,0.260869565
à‰è„ ï¸ñÁ,0.318181818,12,50,44,7,14,3,1,1,22,6,11,0.22,4,0.08,0,2,0,0,0.375,0.5,0.252595156,89,317,289,37,73,18,4,9,126,38,65,0.205047319,16,0.050473186,5,4,3,2,0.300319489,0.435986159
èèï˚ óùçv,0.324324324,10,43,37,6,12,2,0,0,14,2,3,0.069767442,4,0.093023256,1,1,0,1,0.404761905,0.378378378,0.140350877,50,68,57,11,8,1,0,0,9,1,16,0.235294118,6,0.088235294,1,3,1,0,0.230769231,0.157894737
êÏë∫ óFìl,0.3125,10,40,32,2,10,4,0,0,14,6,4,0.1,6,0.15,2,0,0,1,0.45,0.4375,0.259887006,68,204,177,34,46,15,4,6,87,20,48,0.235294118,17,0.083333333,4,2,4,1,0.331683168,0.491525424
ã„ãS ó≤ïΩ,0.1875,11,38,32,4,6,1,0,1,10,6,10,0.263157895,5,0.131578947,0,1,0,0,0.297297297,0.3125,0.222222222,27,52,45,10,10,2,0,1,15,7,13,0.25,5,0.096153846,0,1,1,0,0.294117647,0.333333333
ç˘êÏ ãgçN,0.166666667,8,37,30,4,5,3,0,0,8,3,11,0.297297297,7,0.189189189,0,0,0,1,0.324324324,0.266666667,0.211453744,90,246,227,27,48,10,2,4,74,29,73,0.296747967,14,0.056910569,4,0,1,8,0.268292683,0.325991189
ëÂèÈ óYàÍòY,0.231060606,68,293,264,29,61,11,2,5,91,29,40,0.136518771,22,0.075085324,1,4,2,3,0.290657439,0.34469697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
à‰è„ à∫ìo,0.312236287,67,288,237,44,74,15,2,14,135,39,44,0.152777778,31,0.107638889,17,0,3,5,0.423611111,0.569620253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ìcë„ ëÂíq,0.247933884,68,288,242,34,60,7,0,4,79,23,66,0.229166667,36,0.125,6,1,3,1,0.355400697,0.326446281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
