年,トランジスタ数
1971.875,2308.24152676
1972.30769231,3554.52235561
1974.32692308,6097.5623522099995
1979.56730769,29163.7757405
1982.30769231,135772.71421099998
1985.91346154,273841.96342600003
1986.25,109411.38105799998
1988.65384615,121881.418484
1989.47115385,1207900.74743
1990.57692308,1207900.74743
1992.40384615,1207900.74743
1992.69230769,3105900.22362
1992.69230769,1113973.85999
1993.02884615,1715437.89634
1993.41346154,3105900.22362
1993.41346154,922239.5651039999
1994.71153846,1910952.97497
1994.71153846,2788126.66541
1995.43269231,9646616.19911
1995.72115385,3105900.22362
1996.15384615,5473703.262879999
1996.34615385,6792525.07006
1996.34615385,3651741.27255
1996.44230769,4293510.210080001
1996.82692308,9646616.19911
1997.35576923,5473703.262879999
1997.45192308,3554522.35561
1997.54807692,8896491.128200002
1997.64423077,7566695.3714000005
1998.89423077,15261378.025799999
1999.13461538,9389798.010480002
1999.18269231,6978305.8486
1999.47115385,9389798.010480002
1999.47115385,21673921.6957
2000.19230769,22266720.1035
2000.67307692,28387359.647600003
2000.67307692,37180266.63909999
2001.10576923,29163775.740499996
2001.20192308,42550655.0247
2001.68269231,25482967.479799997
2001.82692308,37180266.63909999
2002.40384615,55730604.01269999
2002.78846154,38197175.4928
2002.88461538,220673406.908
2003.41346154,151247254.531
2003.50961538,54246909.37009999
2003.65384615,106498563.53500001
2004.80769231,125214968.90699999
2004.80769231,106498563.53500001
2004.80769231,273841963.42600006
2005.72115385,232909659.246
2005.81730769,112403866.377
2005.96153846,305052789.027
2006.05769231,115478198.46900001
2006.875,378551524.92600006
2006.875,155383983.12699997
2006.92307692,245824406.892
2006.97115385,296931484.81999993
2006.97115385,582941534.7140001
2007.06730769,151247254.531
2007.64423077,582941534.7140001
2007.74038462,232909659.246
2007.78846154,805842187.761
2007.83653846,115478198.46900001
2007.98076923,509367521.678
2008.22115385,445079406.23599994
2008.46153846,410469838.044
2009.18269231,457252669.897
2009.27884615,784388558.145
2009.66346154,2308241526.7599998
2009.71153846,1910952974.97
2010.19230769,410469838.044
2010.38461538,1309747264.3
2011.16,1170000000.0
2011.32,2600000000.0
2011.9,1200000000.0
2012.4,2400000000.0
2012.41,2300000000.0
2012.7,2100000000.0
2012.9,1200000000.0
2013.4,5000000000.0
2013.8,4300000000.0
2014.16,4300000000.0
2014.5,4200000000.0
2014.8,2600000000.0
2014.81,3800000000.0
2014.82,5700000000.0
2016.33,7200000000.0
2016.67,8000000000.0
2017.5,19200000000.0
2018.4,8000000000.0
2018.5,21100000000.0
2019.3,8000000000.0
2019.8,39500000000.0
2020.1,30400000000.0
2020.9,16000000000.0
2021.8,57000000000.0
2021.9,58200000000.0
2021.9,55000000000.0
